scale,outcome,n,rho,p,headline
B_opus,net_count_pooled,73,-0.5280876339448592,1.5746155827614243e-06,True
B_opus,net_magnitude,73,-0.4906681131122422,1.0481854538028174e-05,True
B_opus,rise_rate,73,-0.5267459075631928,1.6920562485852095e-06,True
B_opus,net_count_her,73,-0.5444460677798094,6.386647815721992e-07,True
B_opus,net_count_his,73,-0.387081446293085,0.0007168506156852781,True
B_sonnet,net_count_pooled,73,-0.48143576089043344,1.618326131664681e-05,True
B_sonnet,net_magnitude,73,-0.42977319645572065,0.0001479146004489005,True
B_sonnet,rise_rate,73,-0.4642935000634589,3.509082060545041e-05,True
B_sonnet,net_count_her,73,-0.4859658623907157,1.3097608471832029e-05,True
B_sonnet,net_count_his,73,-0.35619746733580465,0.0019817791376686906,True
Cexp_opus,net_count_pooled,73,-0.628864975102496,2.5577367639712986e-09,True
Cexp_opus,net_magnitude,73,-0.5705861872452774,1.3620068684740534e-07,True
Cexp_opus,rise_rate,73,-0.6009332370433922,1.898252737222746e-08,True
Cexp_opus,net_count_her,73,-0.6649918966835633,1.394268406068084e-10,True
Cexp_opus,net_count_his,73,-0.4126001681477911,0.00028624673213203266,True
Cexp_sonnet,net_count_pooled,74,-0.5795362704586202,6.295702330862061e-08,True
Cexp_sonnet,net_magnitude,74,-0.5412333054354473,6.393856805816459e-07,True
Cexp_sonnet,rise_rate,74,-0.5502022936865633,3.8126139862145976e-07,True
Cexp_sonnet,net_count_her,74,-0.5926319929747954,2.657135372881969e-08,True
Cexp_sonnet,net_count_his,74,-0.42644720361337496,0.0001515062812768514,True
Ccharge_opus,net_count_pooled,73,-0.5641460654000737,2.0178833239692276e-07,True
Ccharge_opus,net_magnitude,73,-0.5335507940437906,1.1710565670272173e-06,True
Ccharge_opus,rise_rate,73,-0.5727250933579435,1.1930835157494278e-07,True
Ccharge_opus,net_count_her,73,-0.5823471389893861,6.498861299020879e-08,True
Ccharge_opus,net_count_his,73,-0.40069293612839935,0.00044333576367950694,True
Ccharge_sonnet,net_count_pooled,74,-0.4371424679231024,9.849218884626602e-05,True
Ccharge_sonnet,net_magnitude,74,-0.46199665719726346,3.419588943056728e-05,True
Ccharge_sonnet,rise_rate,74,-0.41371722048202697,0.0002483558298296609,True
Ccharge_sonnet,net_count_her,74,-0.4712437842896342,2.258191873158822e-05,True
Ccharge_sonnet,net_count_his,74,-0.272922467051191,0.01864011318406635,True
D_opus,net_count_pooled,73,-0.6297249175248183,2.397024666598031e-09,True
D_opus,net_magnitude,73,-0.6147791329590183,7.202289046327849e-09,True
D_opus,rise_rate,73,-0.6041072716187523,1.5263108798205254e-08,True
D_opus,net_count_her,73,-0.6620546904831034,1.7927544245691688e-10,True
D_opus,net_count_his,73,-0.4453977747557142,7.861307700775801e-05,True
D_sonnet,net_count_pooled,74,-0.605717724516899,1.0790424869326605e-08,True
D_sonnet,net_magnitude,74,-0.6100064121990721,7.959524008693986e-09,True
D_sonnet,rise_rate,74,-0.5811609196230154,5.668392367014023e-08,True
D_sonnet,net_count_her,74,-0.6590582293721691,1.7258671115152045e-10,True
D_sonnet,net_count_his,74,-0.41747959682743757,0.00021504023643576322,True
A_opus,net_count_pooled,74,0.33898670547035137,0.0031323811726343257,False
A_opus,net_magnitude,74,0.3616006920902714,0.0015481740330120606,False
A_opus,rise_rate,74,0.39119568736291416,0.0005682476247750169,False
A_opus,net_count_her,74,0.3662556281620072,0.0013305398512416231,False
A_opus,net_count_his,74,0.2685254717501,0.020707304775929095,False
A_sonnet,net_count_pooled,74,-0.27947821460371003,0.01588718022001914,False
A_sonnet,net_magnitude,74,-0.2183443577668588,0.06163526125423314,False
A_sonnet,rise_rate,74,-0.22363463962656838,0.05544650362912882,False
A_sonnet,net_count_her,74,-0.27432254038740594,0.01802014423789488,False
A_sonnet,net_count_his,74,-0.2226145500563828,0.056598663540265895,False
