cell,usas,mean_excess,n_pairs,n_obs_used,p
MARKED,I4,1.530301925582354,7,162,0.09774335585254036
MARKED,A13.7,1.3137218348450683,15,593,0.00553669211244578
MARKED,A1.3,1.2830982067038839,20,618,3.988168045828851e-05
MARKED,N3.4,1.248444468962585,14,129,0.0037890332233761785
MARKED,K4,1.1342957175847441,24,1119,0.029209026667789767
MARKED,S2,1.0630603209051543,25,765,0.17593431582701488
MARKED,A1.4,1.033521457026264,28,1117,2.2258757960557524e-05
MARKED,N3.5,1.0150137794863192,22,321,0.02245228415989612
MARKED,X3.1,1.003251422796808,21,859,6.653189261766932e-05
MARKED,A13.2,0.9706895371501671,8,113,0.1389243897529445
MARKED,X4.1,0.9580582256079199,21,857,0.050558482879544266
MARKED,K2,0.8523922100619391,22,1061,0.11476871384574139
MARKED,N2,0.8506127373103087,14,207,0.03648740566403801
MARKED,Q3,0.8258810002341528,29,6502,0.049761055125541534
MARKED,S5+c,0.8156501179821382,19,520,1.669118481772073e-05
MARKED,X3.5,0.7963068812364535,8,164,0.0071300535280080304
MARKED,E1,0.7877934085443328,21,1011,0.0013198091349288727
MARKED,S1.1.2,0.7818367069982933,28,2224,0.00017518171430002646
MARKED,Z1f,0.7541447436188524,22,769,0.10764709087732795
MARKED,T1.1.1,0.7502757380046423,28,1268,2.40082451151886e-06
MARKED,Q1.1,0.7473503108108773,28,3459,0.00742169316982472
MARKED,N3.8,0.7302344283228998,28,3939,0.00016345485276040086
MARKED,O4.3,0.6967946289474225,28,2460,4.465647423666056e-06
MARKED,X5.1,0.6890868188569764,25,913,0.00018611917364422183
MARKED,S2mf,0.6837459513836258,27,762,1.2485000943551218e-05
MARKED,A15,0.6548325201200461,16,336,0.0029894265399157544
MARKED,X6,0.6458987671327535,28,3823,6.469176352144655e-06
MARKED,O4.2,0.6450285116315166,28,2046,3.985525612427089e-05
MARKED,Q4.3,0.6407721508323349,25,836,0.0006878813666307329
MARKED,X3,0.6269489867979294,18,611,0.00041432728462930134
MARKED,A6.3,0.6128194734060057,11,341,0.1014632016437266
MARKED,A11.2,0.609465448252773,6,129,0.3929540194722401
MARKED,O4.5,0.5765920575768936,28,2205,1.4963316597520285e-05
MARKED,X2.5,0.5733452265367062,27,2184,0.001338196235556498
MARKED,A1.1.1,0.5679841495717144,29,107890,0.1148810808431047
MARKED,A5.4,0.5525074235751674,28,1749,0.004120625165861515
MARKED,A6.2,0.5476583673712541,26,1374,0.00019059617836498821
MARKED,T1.1.2,0.5435202065601317,17,189,0.013172420784297006
MARKED,O1.2,0.5412193510675181,26,610,9.375947487389829e-06
MARKED,Q2.1,0.5341611946203046,29,77773,0.16633379758895775
MARKED,Z7,0.5291490367213939,28,14897,0.1874781818922469
MARKED,X5.2,0.5289302726216432,28,1442,0.00038074699057565644
MARKED,S1.2.1,0.5171776276722723,19,257,0.012846327342577258
MARKED,O4.6,0.515160308983348,28,4484,1.8054161042845533e-07
MARKED,L2mf,0.5141301183038348,26,1599,0.004129954796111864
MARKED,Q4.1,0.5139962367057387,29,2103,0.07062194676227844
MARKED,Q4.2,0.5138442778791615,25,1051,0.010704577932676892
MARKED,G2.1,0.4990402404607127,31,29766,0.00302699694449394
MARKED,A4.1,0.4943182350976235,29,2543,0.2037944056860892
MARKED,E4.2,0.48901700780742924,26,1540,1.6298127401471238e-05
MARKED,W4,0.4834340347066312,25,759,0.0005654407750423502
MARKED,Q1.2c,0.470610012495859,13,251,0.0017947211862147843
MARKED,H3,0.4702191283028266,21,465,0.0025013226486053533
MARKED,O1,0.4692812994018865,6,141,0.25403188872527954
MARKED,A5.2,0.46822984397295964,28,2026,0.06031786252592683
MARKED,S1.2.5,0.4680699772533277,19,232,0.0035482254587877377
MARKED,O1.1,0.4620178906962484,28,3578,5.9447233330895514e-05
MARKED,Z8mfc,0.461009095299464,28,1899,0.0002273926148192042
MARKED,A12,0.4604463374386799,28,1436,0.0017391509637751034
MARKED,A13,0.4589015191070461,32,15035,0.0025203165732751113
MARKED,X3.3,0.45874595958076525,27,473,0.054116950577781965
MARKED,X2.1,0.45577639233785056,29,15932,0.0020992428113615126
MARKED,N3.2,0.4545535589081833,27,5539,0.00015801616064342906
MARKED,A4.2,0.4524798004296784,28,3621,0.0017404528321588804
MARKED,T2,0.4489658645237866,29,23476,5.683972682963031e-07
MARKED,A1.2,0.4468261015168285,27,749,0.017845914915033963
MARKED,Q2.2,0.44137349161806944,29,63162,0.01954815372612388
MARKED,N3.6,0.43336639113888814,13,233,0.04900612787814061
MARKED,A13.3,0.4330648535272788,28,2995,2.6469447303269165e-05
MARKED,S1.1.1,0.42975493365325335,28,4691,2.895215216925994e-05
MARKED,A2.1,0.42140151398866577,28,6634,8.709551666338554e-06
MARKED,Z3c,0.4209987648147457,29,20733,0.02965592409061453
MARKED,T1.1,0.4179473631349307,22,584,1.404769860959215e-05
MARKED,K5.2,0.4169005565862709,7,48,0.19744737991374378
MARKED,A1.5.1,0.41314724186057455,28,9777,2.1974249213222392e-05
MARKED,Z3,0.412694202153483,28,6312,0.00020810348471564255
MARKED,O2,0.4010975977518525,28,5713,2.316929786894295e-05
MARKED,M1,0.39783038856750563,29,111094,0.09814341281329074
MARKED,S8,0.39126123057468565,28,33050,0.030703261438717096
MARKED,A11.1,0.38898614034626233,28,5811,0.033427694470644566
MARKED,O4.4,0.38737811337610895,28,3925,0.0005065824046799031
MARKED,S3.1,0.3787631361434238,28,2324,0.001471161288358697
MARKED,X3.2,0.374714475791145,28,15871,0.027797658108550432
