category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
A1.1.1,0.02893018157312216,28,41,0.014251588295664775,0.04360877485057955,0.020969418967796263,0.000400789829311848,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A1.5.1,-0.00010324543767716893,2,41,-0.0027908080225228856,0.002584317147168548,0.0038393751212081667,0.9403550175226351,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A1.8,0.0004125846030076851,3,41,-0.0016821229601172607,0.002507292166132631,0.0029924393758927795,0.7015040435911268,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A10,-0.01317595788053071,8,41,-0.021155805460366238,-0.005196110300695183,0.011399782256907897,0.0024342368133078267,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A13.3,0.0013667078952604263,6,41,-0.0002724070810919935,0.003005822871612846,0.0023415928233605997,0.11005053428306528,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A14,-0.019588124840828624,8,41,-0.03323006733295529,-0.005946182348701961,0.019488489274466662,0.007546525601991816,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A2.1,-0.00011618853548059783,3,41,-0.002033882185442758,0.001801505114481562,0.002739562357088799,0.906066395822412,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A2.2,0.0003757577821804609,2,41,-0.000430700669578315,0.0011822162339392367,0.001152083502512537,0.3665913902903163,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A3,0.015389138436393647,22,41,-0.0044175690748239314,0.03519584594761123,0.028295296444596538,0.13566284270980425,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A4.2,0.00168441589195037,6,41,0.00037507317191891386,0.0029937586119818263,0.0018704896000449373,0.015773154946453892,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A5.1,0.0005586623331843196,3,41,-6.87589599898575e-05,0.0011860836263584966,0.0008963161331059672,0.08862822328572903,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A6.1,-0.0028434410101442864,13,41,-0.01130835050476019,0.005621468484471617,0.012092727849451292,0.5140645551259283,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A7,0.005575096751267428,24,41,0.00012783743307180715,0.01102235606946305,0.0077817990259937435,0.051652098501492105,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
A8,0.00774247427255457,19,41,0.003984527087208357,0.011500421457900784,0.005368495979066019,0.00023698553943354243,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
