word,net,rises,falls,in_base,n_pairs
军装,3,4,1,17,21
皮夹克,3,5,2,9,21
帽子,2,4,2,20,21
袍子,2,2,0,16,21
西装,2,4,2,21,21
假发,2,2,0,5,21
衣物,2,3,1,20,21
皮大衣,2,2,0,4,21
面具,2,2,0,18,21
外套,2,4,2,21,21
手套,2,4,2,21,21
雨衣,2,3,1,18,21
夹克,2,5,3,20,21
长袍,1,3,2,19,21
旧,1,2,1,18,21
眼镜,1,4,3,18,21
鞋子,1,4,3,18,21
皮衣,1,2,1,16,21
大衣,0,4,4,21,21
蓝色,0,2,2,17,21
战袍,0,1,1,11,21
风衣,0,1,1,17,21
背心,0,2,2,19,21
制服,0,2,2,21,21
长裤,0,2,2,11,21
头盔,0,1,1,19,21
皮鞋,0,1,1,13,21
军服,0,1,1,16,21
短裤,0,2,2,15,21
口罩,0,1,1,6,21
睡袍,0,1,1,6,21
灰色,0,1,1,9,21
斗篷,-1,3,4,13,21
皮,-1,1,2,21,21
那件,-1,1,2,14,21
工作服,-1,2,3,19,21
睡衣,-1,1,2,19,21
西服,-1,2,3,17,21
白大褂,-2,0,2,10,21
红色,-2,0,2,18,21
T恤,-2,0,2,7,21
鞋袜,-2,0,2,7,21
内衣,-2,1,3,15,21
靴,-2,0,2,20,21
外衣,-2,3,5,21,21
黑色,-2,2,4,21,21
牛仔裤,-2,1,3,18,21
小,-2,0,2,16,21
白色,-3,0,3,19,21
裤,-3,0,3,17,21
黑,-3,0,3,21,21
裤子,-4,2,6,20,21
衣裳,-4,0,4,17,21
靴子,-4,0,4,20,21
袜子,-5,0,5,18,21
衬衫,-5,0,5,20,21
内裤,-5,0,5,13,21
上衣,-5,1,6,21,21
T,-5,0,5,20,21
衣服,-6,0,6,21,21
盔甲,-7,0,7,18,21
鞋,-7,0,7,20,21
衬衣,-8,1,9,19,21
