model,group,obs,null,null_sf,res,gap
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,0.8727700824154737,1.001774289084156,,3.3674382907543814,0.1290042066686824
01-ai/Yi-1.5-9B,f11_beauty_zh,0.9252621378746246,0.9968859015162426,,2.917770864261337,0.07162376364161793
01-ai/Yi-1.5-9B,f11_captive_b_zh,0.8814570839456988,0.999994125130842,,3.953719492796202,0.11853704118514319
01-ai/Yi-1.5-9B,f11_captive_zh,0.9797860551757622,1.0072544969765809,0.9624235112668413,3.6264585020195366,0.027468441800818644
01-ai/Yi-1.5-9B,f11_class_zh,0.8583529073602065,1.001216931883664,,4.583041584069559,0.14286402452345737
01-ai/Yi-1.5-9B,f11_create_zh,0.9190006860104518,1.025970662388184,,3.052362577444261,0.10696997637773209
01-ai/Yi-1.5-9B,f11_desire_zh,0.8938509463722512,0.9931531220079466,,3.0903407630914703,0.09930217563569543
01-ai/Yi-1.5-9B,f11_faithful_zh,0.725755813016788,0.9984359977421623,1.0601195350767327,3.5700965768133743,0.27268018472537425
01-ai/Yi-1.5-9B,f11_gender_he_zh,1.0424155466580503,1.0028513689740186,,3.6947788938786816,-0.03956417768403164
01-ai/Yi-1.5-9B,f11_gender_she_zh,1.3109679992102978,1.02607931151949,,3.668583004731295,-0.2848886876908079
01-ai/Yi-1.5-9B,f11_gender_zh,0.9777156403397073,0.9998760974115635,,3.662224706977069,0.02216045707185621
01-ai/Yi-1.5-9B,f11_guilt_zh,1.0333812725256761,1.0115756829818854,,3.693567911397722,-0.02180558954379075
01-ai/Yi-1.5-9B,f11_holy_b_zh,0.8092283418626564,0.9990034938187103,,3.131997782870669,0.189775151956054
01-ai/Yi-1.5-9B,f11_holy_zh,0.8271068620813897,0.9973774359549207,,3.1526440843063503,0.17027057387353095
01-ai/Yi-1.5-9B,f11_love_he_zh,0.887293082604788,0.9963267500104158,,3.154597199227073,0.10903366740562781
01-ai/Yi-1.5-9B,f11_love_zh,0.9274094657562582,0.9951672336613968,,3.245472749535333,0.06775776790513865
01-ai/Yi-1.5-9B,f11_loyal_zh,0.9864363874709886,1.005006765984814,0.9683220609118919,3.7099032564806027,0.01857037851382548
01-ai/Yi-1.5-9B,f11_parent_zh,0.9249936404963439,1.010009242383593,,3.494450711451248,0.08501560188724899
01-ai/Yi-1.5-9B,f11_reason_zh,1.0065263257453607,0.99933835077792,,4.321745217983385,-0.0071879749674407245
01-ai/Yi-1.5-9B,f11_sensation_zh,0.9184343173835654,1.0093123491312515,0.9655633144439373,4.064145874714494,0.09087803174768605
01-ai/Yi-1.5-9B,f11_trust_zh,0.7017667484101296,0.998039919385608,,3.604670511837456,0.29627317097547834
01-ai/Yi-1.5-9B-Chat,f11_beauty_ugly_zh,1.113038637266722,1.0166132280185147,,4.642721355134502,-0.0964254092482073
01-ai/Yi-1.5-9B-Chat,f11_beauty_zh,0.7224228708223034,1.0143083156072907,,3.082789554937115,0.29188544478498735
01-ai/Yi-1.5-9B-Chat,f11_captive_b_zh,1.047581882381521,1.0034305937215393,,4.060360382790654,-0.04415128865998175
01-ai/Yi-1.5-9B-Chat,f11_captive_zh,1.0144901807692421,0.999913374400474,1.02566932474988,3.6314548338277803,-0.014576806368768125
01-ai/Yi-1.5-9B-Chat,f11_class_zh,1.1059473603515746,0.9984976804126021,,4.694109599740715,-0.10744967993897248
01-ai/Yi-1.5-9B-Chat,f11_create_zh,0.9477575608669861,1.015023831339484,,3.4743408838144845,0.06726627047249778
01-ai/Yi-1.5-9B-Chat,f11_desire_zh,1.0104687963135361,1.0002530392865951,,3.463407861539928,-0.010215757026940997
01-ai/Yi-1.5-9B-Chat,f11_faithful_zh,0.8686656121406017,1.0031449701123059,1.029543348986824,3.87810057333774,0.13447935797170418
01-ai/Yi-1.5-9B-Chat,f11_gender_he_zh,0.9817207143051255,1.0003310977215891,,4.498944186625432,0.018610383416463594
01-ai/Yi-1.5-9B-Chat,f11_gender_she_zh,1.0433385751402373,1.0151291673148046,,4.997929174325449,-0.028209407825432686
01-ai/Yi-1.5-9B-Chat,f11_gender_zh,1.0105502622921416,1.0009231888722336,,3.6197458127844158,-0.009627073419907983
01-ai/Yi-1.5-9B-Chat,f11_guilt_zh,1.4256313619687173,1.0227462970049985,,3.7175423046643394,-0.4028850649637188
01-ai/Yi-1.5-9B-Chat,f11_holy_b_zh,1.0165441627745446,1.009054885089546,,3.2292322114608645,-0.00748927768499863
01-ai/Yi-1.5-9B-Chat,f11_holy_zh,0.8544182758471974,1.004909034253691,,3.285733751297193,0.15049075840649362
01-ai/Yi-1.5-9B-Chat,f11_love_he_zh,0.9949425219335624,0.9993381251489695,,3.049503893185253,0.004395603215407107
01-ai/Yi-1.5-9B-Chat,f11_love_zh,1.037646394450981,0.9991551767473421,,3.058207232357475,-0.03849121770363895
01-ai/Yi-1.5-9B-Chat,f11_loyal_zh,0.9661016507116265,1.001438888084258,0.973332954861048,4.1622573494001,0.0353372373726315
01-ai/Yi-1.5-9B-Chat,f11_parent_zh,0.9608278264054319,1.0003023291939315,,3.5068755272432157,0.03947450278849962
01-ai/Yi-1.5-9B-Chat,f11_reason_zh,1.0323967105216776,1.0025932446460586,,4.411319435454025,-0.029803465875618995
01-ai/Yi-1.5-9B-Chat,f11_sensation_zh,0.6946673105342648,1.0181801677645819,0.913423597142132,4.581392952636171,0.3235128572303171
01-ai/Yi-1.5-9B-Chat,f11_trust_zh,0.8240092087865469,0.9894448278193781,,3.5982540054560754,0.16543561903283122
BAAI/Aquila2-7B,f11_beauty_ugly_zh,0.9938250910219032,1.0006612860012625,,3.6293818021964555,0.006836194979359278
BAAI/Aquila2-7B,f11_beauty_zh,0.9717131508617333,1.0012890008148982,,4.322399392461079,0.02957584995316498
BAAI/Aquila2-7B,f11_captive_b_zh,0.7740229197310103,1.0101177524570137,,4.7611926592875475,0.2360948327260034
BAAI/Aquila2-7B,f11_captive_zh,1.0421272853565389,1.0097704919612993,1.012497000735712,3.4453558714500376,-0.03235679339523956
BAAI/Aquila2-7B,f11_class_zh,0.9873447091109989,1.0004589973393394,,4.429063925148046,0.013114288228340487
BAAI/Aquila2-7B,f11_create_zh,1.0898025084713792,1.001789304133108,,2.852066721490972,-0.08801320433827109
BAAI/Aquila2-7B,f11_desire_zh,0.9278773469359576,0.9977966884778373,,3.165989201008328,0.06991934154187973
BAAI/Aquila2-7B,f11_faithful_zh,0.930074248015814,1.0003628726683973,1.036675139038063,3.7310274633724947,0.07028862465258334
BAAI/Aquila2-7B,f11_gender_he_zh,0.9415731034740763,1.000567642323727,,5.6921443830155285,0.05899453884965078
BAAI/Aquila2-7B,f11_gender_she_zh,1.034210047986694,1.003518823196165,,4.9454842923368,-0.030691224790529104
BAAI/Aquila2-7B,f11_gender_zh,0.9379914545664327,1.000553988834466,,5.1171373433978875,0.06256253426803315
BAAI/Aquila2-7B,f11_guilt_zh,0.9795533666008613,0.9979897528685732,,3.4566504072468147,0.018436386267711824
BAAI/Aquila2-7B,f11_holy_b_zh,1.0541246832497226,1.0028694537280822,,4.594232962560332,-0.05125522952164041
BAAI/Aquila2-7B,f11_holy_zh,0.9198636130744245,1.0044028637524018,,3.248774612437324,0.0845392506779773
BAAI/Aquila2-7B,f11_love_he_zh,0.9718040583036992,0.9995183100332121,,2.820144209112312,0.027714251729512918
BAAI/Aquila2-7B,f11_love_zh,0.8900860464381889,1.0049367300846324,,2.819933133123672,0.11485068364644346
BAAI/Aquila2-7B,f11_loyal_zh,1.0759366862577031,1.0041264170542314,0.9962391216479323,3.498684669113503,-0.07181026920347167
BAAI/Aquila2-7B,f11_parent_zh,1.0242031384634958,1.0211528530987033,,10.370952876538153,-0.00305028536479246
BAAI/Aquila2-7B,f11_sensation_zh,0.9452329832767643,1.0003436676138118,1.077292134211544,3.6982158041598177,0.055110684337047466
BAAI/Aquila2-7B,f11_trust_zh,1.163242726239935,1.0045682893173442,,3.4991374337635603,-0.15867443692259076
BAAI/AquilaChat2-7B,f11_beauty_ugly_zh,1.0448853005176535,1.0050216666043998,,5.205981341018608,-0.03986363391325365
BAAI/AquilaChat2-7B,f11_beauty_zh,0.929265623657252,0.9969865020752796,,2.8887701183809846,0.06772087841802765
BAAI/AquilaChat2-7B,f11_captive_b_zh,1.0049469962254882,1.007884452821211,,3.7436542501035865,0.002937456595722754
BAAI/AquilaChat2-7B,f11_captive_zh,1.0111391169063495,0.9974000084819803,0.9625793250030676,3.839771466917166,-0.013739108424369206
BAAI/AquilaChat2-7B,f11_class_zh,0.6858020482331048,1.003972075422943,,4.939192126325838,0.31817002718983833
BAAI/AquilaChat2-7B,f11_create_zh,0.8803883663005068,0.9988139730136605,,3.558781866627527,0.11842560671315372
BAAI/AquilaChat2-7B,f11_desire_zh,0.9003596031901706,1.002421293787179,,3.376019148242998,0.10206169059700843
BAAI/AquilaChat2-7B,f11_faithful_zh,1.0265688147333412,1.0127427620852805,0.938120107180102,4.73827686388927,-0.013826052648060694
BAAI/AquilaChat2-7B,f11_gender_he_zh,1.132735107824668,1.0029634680541017,,4.875682449862806,-0.12977163977056616
BAAI/AquilaChat2-7B,f11_gender_she_zh,1.0316466458320097,1.0013931593955818,,4.7983008629580475,-0.03025348643642789
BAAI/AquilaChat2-7B,f11_gender_zh,0.9989429772471204,1.0023753977964707,,5.936460541456869,0.0034324205493502236
BAAI/AquilaChat2-7B,f11_guilt_zh,1.054398098258947,1.012720685179121,,6.040844790805966,-0.041677413079825865
BAAI/AquilaChat2-7B,f11_holy_b_zh,1.0293510300980118,1.0040144670599287,,3.7540314870441334,-0.02533656303808307
BAAI/AquilaChat2-7B,f11_holy_zh,1.3307727381617678,1.0055243059403798,,4.760770667036372,-0.325248432221388
BAAI/AquilaChat2-7B,f11_love_he_zh,0.9080833743886064,0.9986318643792853,,3.3175563047586794,0.09054848999067888
BAAI/AquilaChat2-7B,f11_love_zh,0.8418254314932312,1.0026155177488638,,3.0201616406386362,0.16079008625563262
BAAI/AquilaChat2-7B,f11_loyal_zh,1.0789368688611534,0.9989980756598569,1.006324646553552,4.0039245477767595,-0.07993879320129649
BAAI/AquilaChat2-7B,f11_parent_zh,0.9912136777011579,1.0011180339842882,,4.736191609826042,0.009904356283130356
BAAI/AquilaChat2-7B,f11_sensation_zh,1.028962780178731,1.0067524414434028,1.006554805177284,2.9980609279340995,-0.022210338735328294
BAAI/AquilaChat2-7B,f11_trust_zh,1.0009873698906044,0.9974977681489615,,3.273424830930303,-0.0034896017416429226
BSC-LT/salamandra-7b,f11_captive_b_zh,1.1312700661068542,1.1969038712064366,,2.5572857286893753,0.06563380509958239
BSC-LT/salamandra-7b,f11_captive_zh,3.9336284900275147,1.269255222395878,12.995769500842183,2.5006721996344443,-2.6643732676316367
BSC-LT/salamandra-7b,f11_create_zh,1.0,1.0,,,0.0
BSC-LT/salamandra-7b,f11_faithful_zh,1.0,1.0,,,0.0
BSC-LT/salamandra-7b,f11_gender_he_zh,54.07946542978375,1.0479884993511666,,15.66259971248534,-53.03147693043259
BSC-LT/salamandra-7b,f11_gender_she_zh,1.0866297306582193,1.001942390088395,,15.986790093349336,-0.0846873405698243
BSC-LT/salamandra-7b,f11_gender_zh,1.4425718211371896,1.146389033315989,,17.84158079777387,-0.29618278782120067
BSC-LT/salamandra-7b,f11_holy_b_zh,1.360593467158453,1.0251182992916834,,16.15305249225948,-0.33547516786676956
BSC-LT/salamandra-7b,f11_holy_zh,0.0028643701188934756,1.46023711411667,,17.608364920883048,1.4573727439977764
BSC-LT/salamandra-7b,f11_loyal_zh,1.9173150090123448,1.0114217784482702,2.0232288183743297,19.465565853696177,-0.9058932305640746
BSC-LT/salamandra-7b,f11_reason_zh,1.2740093929441885,1.0120418762080423,,17.293625912971986,-0.26196751673614616
BSC-LT/salamandra-7b-instruct,f11_captive_b_zh,1.8178207359507144,1.2566659870214514,,17.49268096730856,-0.561154748929263
BSC-LT/salamandra-7b-instruct,f11_captive_zh,1.122732523895582,1.3082767104107071,2.0138476574882502,2.7598796464157225,0.18554418651512505
BSC-LT/salamandra-7b-instruct,f11_loyal_zh,2.498974551795271,1.061002745617384,1.7671933008588487,17.24086159567916,-1.4379718061778868
BSC-LT/salamandra-7b-instruct,f11_reason_zh,3.2740050793297355,1.2064450048559683,,19.72709060954178,-2.067560074473767
EleutherAI/pythia-6.9b,f11_beauty_ugly_zh,0.9990492147583369,0.9974658616433774,,4.671074114728106,-0.001583353114959496
EleutherAI/pythia-6.9b,f11_beauty_zh,0.839982509507674,1.0032388336102693,,4.163928163028928,0.16325632410259538
EleutherAI/pythia-6.9b,f11_captive_b_zh,0.682722822916352,1.0343126265298181,,2.95189143117791,0.35158980361346615
EleutherAI/pythia-6.9b,f11_captive_zh,0.9672144119455071,1.0755565600126782,1.0743845885698287,3.7825617079756557,0.10834214806717113
EleutherAI/pythia-6.9b,f11_class_zh,0.9946576321710254,1.0043856492140086,,3.6347173147992686,0.009728017042983206
EleutherAI/pythia-6.9b,f11_create_zh,1.0013453627532602,1.001038229080817,,3.731559428553624,-0.0003071336724431717
EleutherAI/pythia-6.9b,f11_desire_zh,0.9368487628323658,1.0015620218186108,,3.279870212050904,0.06471325898624491
EleutherAI/pythia-6.9b,f11_faithful_zh,0.8185058077917288,1.0044616996600617,1.0136465114688504,3.825019448841051,0.18595589186833295
EleutherAI/pythia-6.9b,f11_gender_he_zh,0.9895456184778371,1.0096631389716124,,4.2248361224316096,0.020117520493775354
EleutherAI/pythia-6.9b,f11_gender_she_zh,0.9826930140521387,1.0141313360548034,,3.4079878060396505,0.03143832200266472
EleutherAI/pythia-6.9b,f11_gender_zh,1.0551422959372454,1.0474160249971867,,4.739368979267443,-0.007726270940058733
EleutherAI/pythia-6.9b,f11_guilt_zh,0.9924007944544146,1.010706272498333,,2.803197274185863,0.018305478043918244
EleutherAI/pythia-6.9b,f11_holy_b_zh,1.2859334963843312,1.0188144782503896,,3.37074465061682,-0.26711901813394157
EleutherAI/pythia-6.9b,f11_holy_zh,1.3828702723545598,1.0436340369117014,,3.6178193840057338,-0.3392362354428584
EleutherAI/pythia-6.9b,f11_love_he_zh,0.8605051589844441,1.0010274659055773,,3.859361460898611,0.1405223069211332
EleutherAI/pythia-6.9b,f11_love_zh,0.6694344058960564,1.0120915645028579,,3.7097991147939564,0.34265715860680146
EleutherAI/pythia-6.9b,f11_loyal_zh,0.8145623652076516,1.0014906114147377,1.0064056679746811,2.8734626895885165,0.18692824620708615
EleutherAI/pythia-6.9b,f11_parent_zh,1.0011415539079105,1.0078710301957923,,5.138383586681765,0.006729476287881786
EleutherAI/pythia-6.9b,f11_reason_zh,1.090331442515495,1.000353244192012,,3.970258981838253,-0.08997819832348308
EleutherAI/pythia-6.9b,f11_sensation_zh,1.215707147543163,1.0044622880242056,1.0004150289323777,3.320059250996428,-0.21124485951895733
EleutherAI/pythia-6.9b,f11_trust_zh,1.212606787226172,1.022633086614258,,3.7234334882718847,-0.1899737006119142
HuggingFaceH4/zephyr-7b-beta,f11_beauty_ugly_zh,1.188960421102618,1.0488626535512537,,5.475896012038287,-0.14009776755136416
HuggingFaceH4/zephyr-7b-beta,f11_beauty_zh,1.0911090218942674,1.0050600755268926,,4.723290587954114,-0.08604894636737481
HuggingFaceH4/zephyr-7b-beta,f11_captive_b_zh,0.6465579121683107,1.0093877756106888,,3.7630193743320066,0.3628298634423781
HuggingFaceH4/zephyr-7b-beta,f11_captive_zh,0.9598893793295935,0.9963345892879922,0.9902430071727212,3.879617119545119,0.03644520995839873
HuggingFaceH4/zephyr-7b-beta,f11_class_zh,1.0920673577532032,0.9991474889017729,,5.017819999296915,-0.09291986885143033
HuggingFaceH4/zephyr-7b-beta,f11_create_zh,0.7054808518775307,1.0034076106719656,,5.097052705358613,0.29792675879443486
HuggingFaceH4/zephyr-7b-beta,f11_desire_zh,0.823103335456372,1.0025605703346798,,3.2744322050017756,0.17945723487830778
HuggingFaceH4/zephyr-7b-beta,f11_faithful_zh,1.4860379403341601,0.9966936172074439,1.102962368238668,5.235474814597598,-0.4893443231267163
HuggingFaceH4/zephyr-7b-beta,f11_gender_he_zh,1.043569105255261,1.0123330784169693,,12.53379639836319,-0.03123602683829163
