base,base_n,base_loose,base_strict,base_strict_rate,aligned,aligned_n,aligned_loose,aligned_strict,aligned_strict_rate,direction,roster,min_n
01-ai/Yi-1.5-9B,688,0,0,0.0,01-ai/Yi-1.5-9B-Chat,688,1,0,0.0,tie,base_aligned_pairs.json,200
EleutherAI/pythia-6.9b,5620,4,0,0.0,lomahony/eleuther-pythia6.9b-hh-dpo,5620,7,0,0.0,tie,base_aligned_pairs.json,200
HuggingFaceTB/SmolLM2-360M,5621,1,0,0.0,HuggingFaceTB/SmolLM2-360M-Instruct,5621,6,0,0.0,tie,base_aligned_pairs.json,200
LLM360/Amber,5760,1,0,0.0,LLM360/AmberSafe,5760,10,0,0.0,tie,base_aligned_pairs.json,200
Qwen/Qwen2.5-0.5B,5620,35,81,0.014413,Qwen/Qwen2.5-0.5B-Instruct,5620,48,113,0.020107,aligned,base_aligned_pairs.json,200
Qwen/Qwen2.5-7B,5755,30,59,0.010252,Qwen/Qwen2.5-7B-Instruct,5755,35,86,0.014944,aligned,base_aligned_pairs.json,200
Qwen/Qwen3-8B-Base,688,9,3,0.00436,Qwen/Qwen3-8B,688,8,1,0.001453,base,base_aligned_pairs.json,200
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,688,0,0,0.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,688,2,2,0.002907,aligned,base_aligned_pairs.json,200
allenai/OLMo-2-0425-1B,5755,3,0,0.0,allenai/OLMo-2-0425-1B-DPO,5635,5,2,0.000355,aligned,base_aligned_pairs.json,200
allenai/Olmo-3-1025-7B,5885,6,0,0.0,allenai/Olmo-3-7B-Instruct-DPO,5645,129,129,0.022852,aligned,base_aligned_pairs.json,200
bigscience/bloom-7b1,688,0,0,0.0,bigscience/bloomz-7b1,688,0,0,0.0,tie,base_aligned_pairs.json,200
deepseek-ai/deepseek-llm-7b-base,5520,0,0,0.0,deepseek-ai/deepseek-llm-7b-chat,5520,1,0,0.0,tie,base_aligned_pairs.json,200
huggyllama/llama-7b,485,0,0,0.0,PKU-Alignment/beaver-7b-v1.0,485,0,0,0.0,tie,base_aligned_pairs.json,200
m-a-p/CT-LLM-Base,688,0,0,0.0,m-a-p/CT-LLM-SFT-DPO,688,1,0,0.0,tie,base_aligned_pairs.json,200
m-a-p/neo_7b,688,0,0,0.0,m-a-p/neo_7b_instruct_v0.1,688,4,2,0.002907,aligned,base_aligned_pairs.json,200
meta-llama/Llama-3.1-8B,6475,6,0,0.0,meta-llama/Llama-3.1-8B-Instruct,5755,1,0,0.0,tie,base_aligned_pairs.json,200
mistralai/Mistral-7B-v0.1,5755,3,0,0.0,HuggingFaceH4/zephyr-7b-beta,5755,2,102,0.017724,aligned,base_aligned_pairs.json,200
openbmb/MiniCPM5-1B-Base,688,1,0,0.0,openbmb/MiniCPM5-1B,688,5,2,0.002907,aligned,base_aligned_pairs.json,200
stabilityai/stablelm-2-1_6b,688,1,0,0.0,stabilityai/stablelm-2-zephyr-1_6b,688,3,1,0.001453,aligned,base_aligned_pairs.json,200
tiiuae/Falcon-H1-1.5B-Base,568,0,0,0.0,tiiuae/Falcon-H1-1.5B-Instruct,568,1,0,0.0,tie,base_aligned_pairs.json,200
tiiuae/Falcon-H1-7B-Base,568,1,0,0.0,tiiuae/Falcon-H1-7B-Instruct,568,1,1,0.001761,aligned,base_aligned_pairs.json,200
tiiuae/Falcon3-10B-Base,688,1,0,0.0,tiiuae/Falcon3-10B-Instruct,688,215,216,0.313953,aligned,base_aligned_pairs.json,200
tiiuae/Falcon3-1B-Base,688,8,7,0.010174,tiiuae/Falcon3-1B-Instruct,688,197,193,0.280523,aligned,base_aligned_pairs.json,200
tiiuae/Falcon3-3B-Base,688,1,0,0.0,tiiuae/Falcon3-3B-Instruct,688,364,363,0.527616,aligned,base_aligned_pairs.json,200
tiiuae/Falcon3-7B-Base,688,0,0,0.0,tiiuae/Falcon3-7B-Instruct,688,195,196,0.284884,aligned,base_aligned_pairs.json,200
tiiuae/Falcon3-Mamba-7B-Base,568,0,0,0.0,tiiuae/Falcon3-Mamba-7B-Instruct,568,2,2,0.003521,aligned,base_aligned_pairs.json,200
tiiuae/falcon-mamba-7b,568,0,0,0.0,tiiuae/falcon-mamba-7b-instruct,568,1,1,0.001761,aligned,base_aligned_pairs.json,200
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,688,0,0,0.0,togethercomputer/RedPajama-INCITE-7B-Chat,688,1,0,0.0,tie,base_aligned_pairs.json,200
zai-org/glm-4-9b-hf,688,3,0,0.0,zai-org/glm-4-9b-chat-hf,688,11,3,0.00436,aligned,base_aligned_pairs.json,200
