checkpoint,domain,n_gens,n_any_underscore,n_cloze_run3,underscore_chars
01-ai/Yi-1.5-9B,death,40,0,0,0
01-ai/Yi-1.5-9B,neutral,56,3,1,67
01-ai/Yi-1.5-9B,power,40,1,1,9
01-ai/Yi-1.5-9B,profanity,40,1,0,1
01-ai/Yi-1.5-9B,sexual,80,1,0,1
01-ai/Yi-1.5-9B,substance,40,1,0,7
01-ai/Yi-1.5-9B,violence,72,1,0,1
01-ai/Yi-1.5-9B-Chat,death,40,1,1,14
01-ai/Yi-1.5-9B-Chat,neutral,56,1,1,137
01-ai/Yi-1.5-9B-Chat,power,40,1,0,2
01-ai/Yi-1.5-9B-Chat,profanity,40,0,0,0
01-ai/Yi-1.5-9B-Chat,sexual,80,0,0,0
01-ai/Yi-1.5-9B-Chat,substance,40,1,0,2
01-ai/Yi-1.5-9B-Chat,violence,72,0,0,0
EleutherAI/pythia-1b/step0,neutral,25,4,1,36
EleutherAI/pythia-1b/step1,neutral,25,1,0,1
EleutherAI/pythia-1b/step1000,neutral,25,3,0,16
EleutherAI/pythia-1b/step10000,neutral,25,1,0,2
EleutherAI/pythia-1b/step100000,neutral,25,1,0,2
EleutherAI/pythia-1b/step143000,neutral,25,2,0,4
EleutherAI/pythia-1b/step25000,neutral,25,0,0,0
EleutherAI/pythia-1b/step5000,neutral,25,0,0,0
EleutherAI/pythia-1b/step50000,neutral,25,2,0,3
EleutherAI/pythia-1b/step512,neutral,25,1,0,1
EleutherAI/pythia-1b/step64,neutral,25,4,1,11
EleutherAI/pythia-6.9b,death,500,29,0,91
EleutherAI/pythia-6.9b,neutral,700,58,1,169
EleutherAI/pythia-6.9b,power,500,25,0,56
EleutherAI/pythia-6.9b,profanity,500,22,1,60
EleutherAI/pythia-6.9b,sexual,1000,42,1,148
EleutherAI/pythia-6.9b,substance,500,48,1,138
EleutherAI/pythia-6.9b,violence,900,62,0,203
EleutherAI/pythia-6.9b/step0,neutral,25,6,0,9
EleutherAI/pythia-6.9b/step1,neutral,25,7,1,13
EleutherAI/pythia-6.9b/step1000,neutral,25,0,0,0
EleutherAI/pythia-6.9b/step10000,neutral,25,0,0,0
EleutherAI/pythia-6.9b/step100000,neutral,25,2,0,11
EleutherAI/pythia-6.9b/step25000,neutral,25,1,0,2
EleutherAI/pythia-6.9b/step5000,neutral,25,2,0,6
EleutherAI/pythia-6.9b/step50000,neutral,25,3,0,7
EleutherAI/pythia-6.9b/step512,neutral,25,2,0,4
EleutherAI/pythia-6.9b/step64,neutral,25,8,0,13
HuggingFaceH4/mistral-7b-sft-beta,death,500,0,0,0
HuggingFaceH4/mistral-7b-sft-beta,neutral,700,0,0,0
HuggingFaceH4/mistral-7b-sft-beta,power,500,1,0,1
HuggingFaceH4/mistral-7b-sft-beta,profanity,500,1,0,2
HuggingFaceH4/mistral-7b-sft-beta,sexual,1000,2,1,7
HuggingFaceH4/mistral-7b-sft-beta,substance,500,0,0,0
HuggingFaceH4/mistral-7b-sft-beta,violence,900,1,0,1
HuggingFaceH4/zephyr-7b-beta,death,500,1,0,8
HuggingFaceH4/zephyr-7b-beta,neutral,700,0,0,0
HuggingFaceH4/zephyr-7b-beta,power,500,0,0,0
HuggingFaceH4/zephyr-7b-beta,profanity,500,0,0,0
HuggingFaceH4/zephyr-7b-beta,sexual,1000,1,0,1
HuggingFaceH4/zephyr-7b-beta,substance,500,0,0,0
HuggingFaceH4/zephyr-7b-beta,violence,900,1,1,32
