lineage,group,depth,ratio_base,ratio_aligned,d
01-ai/Yi-1.5-9B,f11_beauty,0.125,0.658527,0.726422,0.067895
01-ai/Yi-1.5-9B,f11_beauty,0.25,0.565742,0.479383,-0.086360
01-ai/Yi-1.5-9B,f11_beauty,0.375,0.864950,0.963051,0.098101
01-ai/Yi-1.5-9B,f11_beauty,0.5,0.882300,1.240037,0.357737
01-ai/Yi-1.5-9B,f11_beauty,0.625,0.731011,0.737731,0.006720
01-ai/Yi-1.5-9B,f11_beauty,0.75,1.211790,1.025281,-0.186508
01-ai/Yi-1.5-9B,f11_beauty,0.875,1.788043,1.257997,-0.530047
01-ai/Yi-1.5-9B,f11_beauty,1.0,0.822800,0.869874,0.047074
01-ai/Yi-1.5-9B,f11_beauty_ugly,0.125,0.594499,0.959971,0.365472
01-ai/Yi-1.5-9B,f11_beauty_ugly,0.25,0.799755,0.559970,-0.239785
01-ai/Yi-1.5-9B,f11_beauty_ugly,0.375,0.912141,0.829714,-0.082427
01-ai/Yi-1.5-9B,f11_beauty_ugly,0.5,1.143116,0.943208,-0.199908
01-ai/Yi-1.5-9B,f11_beauty_ugly,0.625,1.166539,0.939060,-0.227479
01-ai/Yi-1.5-9B,f11_beauty_ugly,0.75,1.245243,1.060487,-0.184756
01-ai/Yi-1.5-9B,f11_beauty_ugly,0.875,2.301512,0.992773,-1.308739
01-ai/Yi-1.5-9B,f11_beauty_ugly,1.0,1.065173,1.024889,-0.040284
01-ai/Yi-1.5-9B,f11_captive,0.125,0.846908,1.014620,0.167712
01-ai/Yi-1.5-9B,f11_captive,0.25,0.748113,0.725859,-0.022254
01-ai/Yi-1.5-9B,f11_captive,0.375,0.590655,0.718268,0.127613
01-ai/Yi-1.5-9B,f11_captive,0.5,2.551140,0.956102,-1.595038
01-ai/Yi-1.5-9B,f11_captive,0.625,0.674771,0.814284,0.139513
01-ai/Yi-1.5-9B,f11_captive,0.75,0.913578,0.981232,0.067655
01-ai/Yi-1.5-9B,f11_captive,0.875,2.467063,2.250694,-0.216369
01-ai/Yi-1.5-9B,f11_captive,1.0,1.012440,0.885207,-0.127232
01-ai/Yi-1.5-9B,f11_captive_b,0.125,0.991316,0.935935,-0.055382
01-ai/Yi-1.5-9B,f11_captive_b,0.25,0.942741,0.998489,0.055748
01-ai/Yi-1.5-9B,f11_captive_b,0.375,0.793390,0.939259,0.145869
01-ai/Yi-1.5-9B,f11_captive_b,0.5,0.899239,0.878578,-0.020661
01-ai/Yi-1.5-9B,f11_captive_b,0.625,1.113384,0.976461,-0.136923
01-ai/Yi-1.5-9B,f11_captive_b,0.75,1.062844,0.858984,-0.203860
01-ai/Yi-1.5-9B,f11_captive_b,0.875,0.903085,1.215288,0.312203
01-ai/Yi-1.5-9B,f11_captive_b,1.0,0.820332,0.732951,-0.087380
01-ai/Yi-1.5-9B,f11_class,0.125,0.828042,0.923224,0.095182
01-ai/Yi-1.5-9B,f11_class,0.25,1.026007,0.963241,-0.062765
01-ai/Yi-1.5-9B,f11_class,0.375,0.920573,0.980289,0.059716
01-ai/Yi-1.5-9B,f11_class,0.5,0.836806,0.917929,0.081122
01-ai/Yi-1.5-9B,f11_class,0.625,1.000813,0.838238,-0.162576
01-ai/Yi-1.5-9B,f11_class,0.75,1.097460,0.861442,-0.236018
01-ai/Yi-1.5-9B,f11_class,0.875,0.774904,1.119630,0.344726
01-ai/Yi-1.5-9B,f11_class,1.0,0.871792,0.819529,-0.052263
01-ai/Yi-1.5-9B,f11_create,0.125,1.156293,0.911720,-0.244573
01-ai/Yi-1.5-9B,f11_create,0.25,1.068066,1.176905,0.108838
01-ai/Yi-1.5-9B,f11_create,0.375,1.089293,1.042745,-0.046548
01-ai/Yi-1.5-9B,f11_create,0.5,0.926046,0.905961,-0.020086
01-ai/Yi-1.5-9B,f11_create,0.625,0.918574,0.914683,-0.003890
01-ai/Yi-1.5-9B,f11_create,0.75,0.877507,1.106143,0.228636
01-ai/Yi-1.5-9B,f11_create,0.875,0.936032,0.997924,0.061892
01-ai/Yi-1.5-9B,f11_create,1.0,0.728385,0.736162,0.007777
01-ai/Yi-1.5-9B,f11_desire,0.125,0.753863,0.791051,0.037188
01-ai/Yi-1.5-9B,f11_desire,0.25,0.940035,0.890768,-0.049267
01-ai/Yi-1.5-9B,f11_desire,0.375,0.794630,0.908127,0.113497
01-ai/Yi-1.5-9B,f11_desire,0.5,0.973304,0.909137,-0.064167
01-ai/Yi-1.5-9B,f11_desire,0.625,1.147125,0.693715,-0.453410
01-ai/Yi-1.5-9B,f11_desire,0.75,0.510330,1.035482,0.525153
01-ai/Yi-1.5-9B,f11_desire,0.875,0.715376,2.126948,1.411572
01-ai/Yi-1.5-9B,f11_desire,1.0,0.797122,0.609213,-0.187909
01-ai/Yi-1.5-9B,f11_faithful,0.125,0.673470,0.730785,0.057315
01-ai/Yi-1.5-9B,f11_faithful,0.25,0.574794,0.679579,0.104784
01-ai/Yi-1.5-9B,f11_faithful,0.375,0.743591,0.867510,0.123918
01-ai/Yi-1.5-9B,f11_faithful,0.5,0.985427,2.047560,1.062134
01-ai/Yi-1.5-9B,f11_faithful,0.625,0.703243,0.959141,0.255897
01-ai/Yi-1.5-9B,f11_faithful,0.75,1.271290,1.831518,0.560228
