lineage,delta,d_polesep
01-ai/Yi-1.5-9B,0.0452395262778146,0.07146121047924969
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,0.0449998148029694,0.0209268808118568
BAAI/Aquila2-7B,-0.0319669075678666,-0.03194533865794008
BSC-LT/salamandra-7b,-0.0429977438467607,0.007860166766797847
EleutherAI/pythia-6.9b,0.0190353974856376,-0.0008954530892855231
HuggingFaceTB/SmolLM2-360M,0.0008672604360038,0.016763149636603653
HuggingFaceTB/SmolLM3-3B-Base,-0.0864202674494362,0.036984857340515286
LLM360/Amber,-0.2491319734720342,0.04674408136470345
OpenLLM-France/Lucie-7B,0.0681712458314641,-0.0002401769999938879
Qwen/Qwen2.5-7B,-0.0412894905468402,0.005471165933398558
Qwen/Qwen3-8B-Base,-0.0059948792434328,0.03225795983074019
RWKV/rwkv-4-7b-pile,0.0066076790055125,0.0003797125554721774
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.0047497442385738,-0.009110369272832947
Zyphra/Zamba2-7B,-0.0957224417481511,-0.007947730411570974
allenai/OLMo-2-0425-1B,-0.083956867014985,0.0775412451021555
allenai/OLMoE-1B-7B-0125,-0.0801368796009404,0.05243667575523136
allenai/Olmo-3-1125-32B,-0.1438301206447447,0.0895884830208776
allenai/Olmo-Hybrid-7B,-0.0749905916636119,0.04711282408427566
baichuan-inc/Baichuan2-7B-Base,-0.0971518671571287,0.07493282899288478
bigscience/bloom-7b1,0.0541077013346651,0.006232504044537959
croissantllm/CroissantLLMBase,-0.0946441857911556,0.013680879771709443
deepseek-ai/deepseek-llm-7b-base,0.0084794644874598,0.02622265038572676
google/gemma-2-9b,-0.2018139903158454,0.05598867237781691
google/recurrentgemma-9b,-0.0832645268250256,0.021817894976555816
huggyllama/llama-7b,-0.0677866123013342,0.042657057211278306
ibm-granite/granite-3.0-8b-base,-0.0235015825269616,0.026746897310836286
internlm/internlm2-base-7b,-0.0030676142979751,-0.0021102063735251577
kakaocorp/kanana-1.5-8b-base,-0.1129987799627502,0.000743555782212549
kakaocorp/kanana-2-3b-base,-0.047139596894911,0.009361000018680073
llm-jp/llm-jp-3-7.2b,-0.1021880520284479,0.04513645940591314
m-a-p/CT-LLM-Base,-0.0579250494527356,0.041765523917176264
m-a-p/neo_7b,0.0362388209514715,0.051160078388360015
meta-llama/Llama-3.1-70B,-0.0345317769210815,-0.04741798097363655
mistralai/Mistral-7B-v0.1,-0.0569121139371242,9.403932720814145e-05
openGPT-X/Teuken-7B-base-v0.6,-0.0049493565180889,0.01965676362697895
openbmb/MiniCPM5-1B-Base,-0.2410639421877732,0.06353344510241253
stabilityai/stablelm-2-1_6b,-0.027446765748184,0.023273574324642738
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,0.0063789563857533,0.013055407136053472
tiiuae/Falcon-H1-7B-Base,-0.0641508916837326,0.03872218690465511
tiiuae/Falcon3-10B-Base,-0.0309464561548313,0.04338034641043079
tiiuae/Falcon3-7B-Base,-0.0054916356265531,0.03039344867258968
tiiuae/Falcon3-Mamba-7B-Base,-0.0480261474254344,0.04343502559676403
tiiuae/falcon-mamba-7b,-0.0314722670559398,-0.003899388203980999
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,-0.1660478252601705,0.17260806173729182
zai-org/glm-4-9b-hf,-0.0058334431342539,0.05079453014882236
