lineage,n_cells,median_d_js,median_js_indiv,median_js_inst,share_cells_positive
01-ai/Yi-1.5-9B,126,0.015498,0.043161,0.060861,0.7143
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,126,0.004949,0.020237,0.028264,0.6746
BAAI/Aquila2-7B,126,-0.005957,0.180854,0.175306,0.4841
BSC-LT/salamandra-7b,126,0.016974,0.056828,0.070838,0.6429
EleutherAI/pythia-6.9b,126,0.003237,0.011586,0.014896,0.7381
HuggingFaceTB/SmolLM2-360M,126,0.000444,0.048852,0.049264,0.5159
HuggingFaceTB/SmolLM3-3B-Base,126,0.010801,0.042313,0.053325,0.6825
LLM360/Amber,126,0.028111,0.347204,0.389457,0.6111
OpenLLM-France/Lucie-7B,126,0.006150,0.069069,0.071136,0.5952
Qwen/Qwen2.5-7B,126,0.006215,0.027801,0.034779,0.6032
Qwen/Qwen3-8B-Base,126,0.008337,0.076357,0.083871,0.6111
RWKV/rwkv-4-7b-pile,126,0.001900,0.008908,0.012167,0.6111
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,126,0.007130,0.029819,0.035268,0.6349
Zyphra/Zamba2-7B,126,0.001603,0.005964,0.007731,0.6984
allenai/OLMo-2-0425-1B,126,0.012392,0.120821,0.131656,0.6270
allenai/OLMoE-1B-7B-0125,126,0.004585,0.088491,0.094512,0.5635
allenai/Olmo-3-1125-32B,126,-0.005386,0.110214,0.109203,0.4683
allenai/Olmo-Hybrid-7B,126,0.011131,0.069933,0.093022,0.6111
baichuan-inc/Baichuan2-7B-Base,126,0.017325,0.083707,0.094613,0.6349
bigscience/bloom-7b1,126,0.006702,0.034790,0.042578,0.6587
croissantllm/CroissantLLMBase,126,0.009192,0.052740,0.064708,0.6190
deepseek-ai/deepseek-llm-7b-base,126,0.007748,0.019675,0.030601,0.6746
google/gemma-2-9b,126,0.015869,0.112276,0.136346,0.5714
google/recurrentgemma-9b,126,0.012690,0.080723,0.104725,0.6587
huggyllama/llama-7b,126,0.005496,0.137053,0.138904,0.5159
ibm-granite/granite-3.0-8b-base,126,0.011973,0.040762,0.051572,0.6587
inceptionai/jais-family-6p7b,126,0.015318,0.104917,0.122339,0.5952
internlm/internlm2-base-7b,126,0.003383,0.033295,0.038056,0.5794
kakaocorp/kanana-1.5-8b-base,126,0.018562,0.132319,0.154965,0.5952
kakaocorp/kanana-2-3b-base,126,0.008498,0.064664,0.069504,0.6111
llm-jp/llm-jp-3-7.2b,126,0.032963,0.155506,0.210689,0.6667
m-a-p/CT-LLM-Base,126,0.013377,0.049352,0.062686,0.6587
m-a-p/neo_7b,126,0.007590,0.074595,0.088858,0.5952
meta-llama/Llama-3.1-70B,126,0.008115,0.044392,0.057127,0.6270
mistralai/Mistral-7B-v0.1,126,-0.000095,0.034587,0.038565,0.5000
openGPT-X/Teuken-7B-base-v0.6,126,0.017504,0.064343,0.086698,0.6905
openbmb/MiniCPM5-1B-Base,126,0.014373,0.107095,0.121378,0.5873
stabilityai/stablelm-2-1_6b,126,0.019888,0.079936,0.116420,0.6984
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,126,0.004729,0.017472,0.023411,0.6667
tiiuae/Falcon-H1-7B-Base,126,0.012840,0.084632,0.096893,0.5873
tiiuae/Falcon3-10B-Base,126,0.005840,0.067117,0.070116,0.5794
tiiuae/Falcon3-7B-Base,126,0.013849,0.063082,0.082146,0.5794
tiiuae/Falcon3-Mamba-7B-Base,126,0.005565,0.071302,0.078337,0.5476
tiiuae/falcon-mamba-7b,126,-0.005095,0.026466,0.017855,0.3968
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,126,-0.012760,0.334681,0.330740,0.4683
zai-org/glm-4-9b-hf,126,0.025437,0.073812,0.097912,0.6984
