stratum,word,n_lineages,median_delta,lineages_pos,lineages_tested,p,plan_b_word
f21_inst,ask,46,-0.0017150765,11,46,0.00053558507,False
f21_inst,think,46,-0.0015138927,8,46,9.2476999e-06,False
f21_inst,call,46,-0.001218386,16,46,0.054076032,False
f21_inst,check,46,-2.50841e-05,22,46,0.88299591,False
f21_inst,win,46,-0.0017539426,11,46,0.00053558507,False
f21_inst,try,46,7.07879e-05,24,46,0.88299591,False
f21_inst,make,46,-0.0011822997,17,46,0.10380536,False
f21_inst,never,46,-0.0023036844,5,46,4.4059362e-08,False
f21_inst,get,46,-0.0059392643,4,46,5.1001905e-09,False
f21_inst,assume,44,-0.00089592123,15,44,0.048766766,False
f21_inst,begin,45,-2.409285e-05,21,45,0.76599182,False
f21_inst,have,46,-0.024089646,7,46,1.8315433e-06,False
f21_inst,note,46,-0.0028440446,13,46,0.0045338616,False
f21_inst,definitely,45,0.0002819943,26,45,0.37129803,False
f21_inst,first,46,0.0012478219,32,46,0.011351591,False
f21_inst,let,46,-0.00054319899,18,46,0.18392482,False
f21_inst,therefore,46,-0.00072823227,17,46,0.10380536,False
f21_inst,give,46,-0.0013789038,15,46,0.025896082,False
f21_inst,emphasize,46,0.0012568691,34,46,0.0016414913,False
f21_inst,probably,46,-0.0026827145,13,46,0.0045338616,False
f21_inst,provide,46,0.0015018094,40,46,3.1028037e-07,False
f21_inst,talk,46,2.292125e-05,24,46,0.88299591,False
f21_inst,find,46,-0.00037906725,16,46,0.054076032,False
f21_inst,consider,46,0.0033762094,42,46,5.1001905e-09,False
f21_inst,clarify,46,0.00019259928,23,46,1,False
f21_inst,know,46,-0.0034445679,8,46,9.2476999e-06,False
f21_inst,explain,46,0.0011957621,30,46,0.054076032,False
f21_inst,expect,45,-0.0009311677,11,45,0.00082408236,False
f21_inst,pay,46,-0.0016633789,6,46,3.1028037e-07,False
f21_inst,warn,46,-0.00061933085,16,46,0.054076032,False
f21_inst,advise,45,0.0013595681,35,45,0.00024708778,False
f21_inst,read,45,-0.0010063242,14,45,0.01609436,False
f21_inst,inform,46,0.0021979896,39,46,1.8315433e-06,False
f21_inst,mention,46,-0.0014905233,17,46,0.10380536,False
f21_inst,I,46,-0.00087739907,18,46,0.18392482,False
f21_inst,hope,43,-0.0018313816,7,43,8.9630394e-06,False
f21_inst,apply,41,-0.0001759042,20,41,1,False
f21_inst,discuss,46,0.0010421937,37,46,4.0560361e-05,False
f21_inst,add,46,-0.003316475,2,46,3.075229e-11,False
f21_inst,not,46,-0.0063820535,13,46,0.0045338616,False
f21_inst,only,46,-0.0012564849,9,46,4.0560361e-05,False
f21_inst,be,46,-0.033450163,7,46,1.8315433e-06,False
f21_inst,show,46,-0.00070544815,17,46,0.10380536,False
f21_inst,file,46,-0.00098502735,15,46,0.025896082,False
f21_inst,also,46,-0.0026643116,12,46,0.0016414913,False
f21_inst,include,46,0.00024260435,26,46,0.46139118,False
f21_inst,start,46,8.47595e-06,23,46,1,False
f21_inst,just,46,-0.0038730109,7,46,1.8315433e-06,False
f21_inst,go,46,-0.002366694,7,46,1.8315433e-06,False
f21_inst,write,46,-0.00047684515,19,46,0.30199561,False
f21_inst,send,46,-0.00084299095,15,46,0.025896082,False
f21_inst,still,46,-0.0012533238,14,46,0.011351591,False
f21_inst,review,46,0.00130974,37,46,4.0560361e-05,False
f21_inst,feel,46,-0.0010408954,13,46,0.0045338616,False
f21_inst,contact,46,0.0011613246,30,46,0.054076032,False
f21_inst,state,46,-0.0013161986,9,46,4.0560361e-05,False
f21_inst,point,46,-0.0028336897,6,46,3.1028037e-07,False
f21_inst,keep,46,-0.001056427,14,46,0.011351591,False
f21_inst,see,46,-0.001222384,6,46,3.1028037e-07,False
f21_inst,really,46,-0.0017445179,9,46,4.0560361e-05,False
f21_inst,take,46,-0.00040162445,22,46,0.88299591,False
f21_inst,receive,43,-0.0017641943,4,43,3.1081527e-08,False
f21_inst,like,46,-0.0021596411,2,46,3.075229e-11,False
f21_inst,stop,46,-0.0014823682,5,46,4.4059362e-08,False
f21_inst,look,46,-0.0002739874,18,46,0.18392482,False
f21_inst,tell,46,-0.0005790095,18,46,0.18392482,False
f21_inst,use,46,-0.000673425,21,46,0.65873808,False
f21_inst,hear,40,-0.0010718566,10,40,0.0022214338,False
f21_inst,do,46,-0.0006101374,20,46,0.46139118,False
f21_inst,always,46,-0.00024020645,20,46,0.46139118,False
f21_inst,say,46,-0.0040398582,5,46,4.4059362e-08,False
f21_inst,appeal,45,0.0015219611,34,45,0.00082408236,False
f21_inst,either,46,-0.0010607906,12,46,0.0016414913,False
f21_inst,continue,46,-0.00034555188,19,46,0.30199561,False
f21_inst,offer,46,-7.2875675e-05,23,46,1,False
f21_inst,simply,46,-0.00090110337,19,46,0.30199561,False
f21_inst,understand,46,-4.01214e-05,22,46,0.88299591,False
f21_inst,turn,43,-0.0010713426,10,43,0.00060610663,False
f21_inst,a,45,-0.000599438,15,45,0.035697804,False
f21_inst,immediately,45,0.000944132,30,45,0.035697804,False
f21_inst,thank,40,-0.0009910637,11,40,0.0064265761,False
f21_inst,what,46,-0.00020608105,22,46,0.88299591,False
f21_inst,allow,45,-0.0010734979,13,45,0.0066088228,False
f21_inst,demand,46,-0.00062175302,18,46,0.18392482,False
f21_inst,remember,45,-0.000697347,19,45,0.37129803,False
f21_inst,then,44,-0.0011680323,10,44,0.0003881309,False
f21_inst,refuse,46,-4.7840525e-05,22,46,0.88299591,False
f21_inst,stay,45,4.46879e-05,23,45,1,False
f21_inst,avoid,45,0.0011509292,33,45,0.0024589003,False
f21_inst,listen,46,0.00037909035,24,46,0.88299591,False
f21_inst,approach,42,0.0017968925,37,42,4.4337048e-07,False
f21_inst,wait,46,-0.0012647331,11,46,0.00053558507,False
f21_inst,ignore,46,0.00029064603,24,46,0.88299591,False
f21_inst,respond,46,0.0014053164,35,46,0.00053558507,False
f21_inst,move,46,-0.0013860035,3,46,4.6219384e-10,False
f21_inst,stand,46,-0.0004708843,18,46,0.18392482,False
f21_inst,leave,46,-0.0012084545,6,46,3.1028037e-07,False
f21_inst,proceed,42,0.0011768667,31,42,0.002887248,False
f21_inst,remind,46,0.0007446925,30,46,0.054076032,False
f21_inst,follow,46,0.0010626771,31,46,0.025896082,False
f21_inst,request,44,0.000145988,24,44,0.65158783,False
f21_inst,report,46,-3.632165e-05,22,46,0.88299591,False
f21_inst,accept,46,-0.00087594468,16,46,0.054076032,False
f21_inst,put,46,-0.0014203142,5,46,4.4059362e-08,False
f21_inst,notify,45,0.0008713782,28,45,0.13515645,False
f21_inst,search,41,-0.0049192245,7,41,2.5320804e-05,False
f21_inst,remove,40,-0.0010856157,10,40,0.0022214338,False
f21_inst,work,46,-0.0002276206,20,46,0.46139118,False
f21_inst,set,46,0.0001982121,24,46,0.88299591,False
f21_inst,document,41,0.0017462965,35,41,4.8735983e-06,True
f21_inst,investigate,46,0.0013957146,33,46,0.0045338616,False
f21_inst,prepare,46,0.0020170111,39,46,1.8315433e-06,False
f21_inst,deal,41,0.00064045295,25,41,0.2110236,False
f21_inst,at,45,-0.0012059493,8,45,1.537409e-05,False
f21_inst,consult,46,0.0015282807,36,46,0.00015641721,False
f21_inst,speak,46,0.00022427605,26,46,0.46139118,False
f21_inst,handle,45,0.0019208842,40,45,7.8783842e-08,True
f21_inst,create,46,0.0010030955,34,46,0.0016414913,False
f21_inst,bring,46,-0.00062871653,14,46,0.011351591,False
f21_inst,communicate,41,0.002163711,40,41,3.8198777e-11,True
f21_inst,reach,44,0.0011628979,32,44,0.0036577668,False
f21_inst,sue,46,-0.0017432126,10,46,0.00015641721,False
f21_inst,address,46,0.0015695631,42,46,5.1001905e-09,False
f21_inst,charge,46,-0.0017567581,11,46,0.00053558507,False
f21_inst,come,43,-0.0004169771,17,43,0.22205282,False
f21_inst,lay,46,-0.0082714614,10,46,0.00015641721,False
f21_inst,implement,46,0.0011195173,37,46,4.0560361e-05,False
f21_inst,invest,45,0.0003859448,27,45,0.23269319,False
f21_inst,shut,43,-0.000525533,16,43,0.12628947,False
f21_inst,eliminate,45,-0.0008815584,15,45,0.035697804,False
f21_inst,apologize,41,0.0008633151,27,41,0.059583888,False
f21_inst,cut,46,-0.0016442033,9,46,4.0560361e-05,False
f21_inst,choose,44,0.00049944805,23,44,0.88039582,False
f21_inst,reduce,46,-0.00051601598,17,46,0.10380536,False
f21_inst,spend,46,-0.0011338507,11,46,0.00053558507,False
f21_inst,prioritize,44,0.0038719994,39,44,1.4051625e-07,True
f21_inst,buy,46,-0.001379903,7,46,1.8315433e-06,False
f21_inst,save,44,-0.0015902323,5,44,1.4051625e-07,False
f21_inst,encourage,44,0.00014899035,26,44,0.29121524,False
f21_inst,re,46,-6.8237911e-05,14,46,0.011351591,False
f21_inst,raise,46,-0.0007919763,17,46,0.10380536,False
f21_inst,change,46,-0.0010987416,11,46,0.00053558507,False
f21_inst,fire,46,-0.0034404669,9,46,4.0560361e-05,False
f21_inst,lower,46,-0.0002563866,18,46,0.18392482,False
f21_inst,increase,46,0.00029464348,25,46,0.65873808,False
f21_inst,sell,44,-0.0015149774,4,44,1.7051434e-08,False
f21_inst,hire,46,-0.0013611537,12,46,0.0016414913,False
f21_inst,focus,46,0.0037916074,45,46,1.3358203e-12,False
f21_inst,confront,43,0.0021242888,34,43,0.00017015517,False
f21_inst,aim,46,0.00081413925,26,46,0.46139118,False
f21_inst,ensure,46,0.001472347,36,46,0.00015641721,True
f21_inst,treat,42,0.0002474955,23,42,0.64396896,False
f21_inst,pick,43,-0.0014407211,8,43,4.1934158e-05,False
f21_inst,replace,46,-0.0011005476,16,46,0.054076032,False
