ladder,column,checkpoint,value,n_groups
olmo,REAL,allenai/Olmo-3-1025-7B@stage1-step0,0.802159,21
olmo,REAL,allenai/Olmo-3-1025-7B@stage1-step1000,0.277879,21
olmo,REAL,allenai/Olmo-3-1025-7B@stage1-step16000,0.393138,21
olmo,REAL,allenai/Olmo-3-1025-7B@stage2-step1000,0.46089,21
olmo,REAL,allenai/Olmo-3-1025-7B@stage2-step16000,0.469839,21
olmo,REAL,allenai/Olmo-3-1025-7B@stage3-step1000,0.474468,21
olmo,REAL,allenai/Olmo-3-1025-7B@stage3-step10000,0.468938,21
pythia,REAL,EleutherAI/pythia-6.9b@step0,0.342017,21
pythia,REAL,EleutherAI/pythia-6.9b@step8,0.333859,21
pythia,REAL,EleutherAI/pythia-6.9b@step128,0.198656,21
pythia,REAL,EleutherAI/pythia-6.9b@step1000,0.168045,21
pythia,REAL,EleutherAI/pythia-6.9b@step16000,0.248634,21
pythia,REAL,EleutherAI/pythia-6.9b@step143000,0.185874,21
olmo,CROSSGROUP,allenai/Olmo-3-1025-7B@stage1-step0,1.3936225000000002,210
olmo,CROSSGROUP,allenai/Olmo-3-1025-7B@stage1-step1000,0.6959885,210
olmo,CROSSGROUP,allenai/Olmo-3-1025-7B@stage1-step16000,1.0457515,210
olmo,CROSSGROUP,allenai/Olmo-3-1025-7B@stage2-step1000,0.989252,210
olmo,CROSSGROUP,allenai/Olmo-3-1025-7B@stage2-step16000,0.9906895,210
olmo,CROSSGROUP,allenai/Olmo-3-1025-7B@stage3-step1000,0.99888,210
olmo,CROSSGROUP,allenai/Olmo-3-1025-7B@stage3-step10000,1.0078205,210
pythia,CROSSGROUP,EleutherAI/pythia-6.9b@step0,0.7213240000000001,210
pythia,CROSSGROUP,EleutherAI/pythia-6.9b@step8,0.696539,210
pythia,CROSSGROUP,EleutherAI/pythia-6.9b@step128,0.44051399999999996,210
pythia,CROSSGROUP,EleutherAI/pythia-6.9b@step1000,0.5317240000000001,210
pythia,CROSSGROUP,EleutherAI/pythia-6.9b@step16000,0.637594,210
pythia,CROSSGROUP,EleutherAI/pythia-6.9b@step143000,0.44605150000000005,210
