# old	new   -- git filter-repo commit-map, 2026-08-03
# removed: meta/M01_displacement/results/word_pool_d2.json (138 MB, over GitHub's 100 MiB hard block)
# artifact preserved at ~/github/backup/artifacts/word_pool_d2.json sha256[:16] 2ce5b04660b4f7f7
# a new of 0000... means the commit was dropped (it had no other content)
old	new
006a77f62488	27f4b03da4b9
008af706da43	9c1d212cd9b4
009b8dbebb0b	6b8c8bdf5cf8
00b548ddac96	57f1642d5c84
013a5e025ee0	a2c995c12a57
0154b81f3c3e	ccbf20d7b0e9
01a3e2151fef	36d8395dc4d6
01dbccbf50ca	e20069847f2a
01e34c4a162b	59641a822173
01e8bfdb29e4	1f2d8cf45d92
0214eff752db	49a5daf7db92
0234dfd742f8	7c91b0fefe9b
02370885309d	0bfd82f24ad8
0274829f7dd4	19d5463e12db
027b2dfe3f85	7a01ad18923d
02943e9b11ad	5dcef535fb76
02b1c2654809	09e4f981b0b1
02b232d7a482	b5db9d66be11
02bdc883097f	e6492a8cb608
03342511f1d8	019092accfb2
0376189e8050	3cbd8c659719
03a17e1528a8	34d2f8141dcf
03b04bcf69a4	bf0143013732
03b564d9da89	2cae26352f27
043bad306c44	8b3de131b26d
044ab3bee16b	95b9b09d6f1b
04a6671033c5	5205834b45f2
0522f54f049c	7e276632477c
05309ce7a2fe	4b3346309de7
0543954e042c	04911609f9fd
0590ca4aad33	dee10459c0b0
05bb46a9cdf8	2589d4b8ec71
0620703ec220	1df3b1543aea
06abb3e16ca3	c830c32f85b2
06c92f16ff36	5a18540fbe07
06dcf4b05e84	7e044f9aeda6
06e63a853dc1	0fc4fa372a66
06f689fa3b7e	6881b2389b69
072e86c213da	68c76690bb4e
073e6f10ce08	ada2d4760594
075bddad6124	741768c45b86
0812435da08c	9d7ca490ea66
08167fc6d984	59a5e01889c7
086e7e7e147e	6f6fea40596a
08905cdb799b	464acc655ee0
08d74cfd8140	2f4587737d5d
090689b95702	eeebba64db38
09499e66b729	5358ae780254
09bc168f2874	7ceed8a6456f
09ca3120a10c	a123e557afe2
09d37b7471e3	48174d9f9bce
0a19eed4d267	de47655b2427
0a255f75c1c3	d490bae80ffa
0a26dbd9e632	9588580cdd8c
0a409d82106b	e8d0b37cbd67
0a8dc3b3f349	44bd887e62e2
